iter	Accuracy	MultiClass
109	0.5125	2.053130162
110	0.527125	2.045223789
111	0.530375	2.042055407
112	0.53525	2.035609721
113	0.538625	2.031630676
114	0.537375	2.029920656
115	0.54025	2.027438807
116	0.545125	2.024247679
117	0.5545	2.018191518
118	0.556625	2.014591524
119	0.558375	2.011281367
120	0.563625	2.006663867
121	0.56925	2.002451256
122	0.57975	1.995278988
123	0.589875	1.987554237
124	0.59075	1.984276493
125	0.602875	1.976056015
126	0.604125	1.971699077
127	0.609875	1.966329756
128	0.61875	1.961059466
129	0.618375	1.957942547
130	0.619625	1.954999207
131	0.623	1.951373046
132	0.625375	1.946862355
133	0.63075	1.944237521
134	0.635125	1.939572086
135	0.63925	1.935524019
136	0.63975	1.933246198
137	0.6405	1.931367635
138	0.642125	1.928765619
139	0.644625	1.923909494
140	0.651375	1.915859743
141	0.657625	1.910108512
142	0.658875	1.906650215
143	0.667375	1.900613165
144	0.671875	1.895897229
145	0.67325	1.893764158
146	0.6755	1.888447281
147	0.68	1.884757761
148	0.680375	1.881410986
149	0.682	1.878743197
150	0.685625	1.875290523
151	0.690875	1.87038503
152	0.690875	1.867085405
153	0.69225	1.864363292
154	0.693	1.861471917
155	0.69725	1.857643797
156	0.7015	1.852476581
157	0.70775	1.845882147
158	0.713	1.840030589
159	0.7165	1.834273369
160	0.717375	1.832286022
161	0.7195	1.830072291
162	0.7215	1.82721482
163	0.724	1.823048785
164	0.725375	1.820290791
165	0.731125	1.812481305
166	0.734125	1.805815372
167	0.7405	1.800892477
168	0.742625	1.797807225
169	0.74575	1.793830364
170	0.7525	1.78626943
171	0.75675	1.781143612
172	0.7575	1.777948955
173	0.7575	1.775098124
174	0.763375	1.769967416
175	0.764	1.766926742
176	0.768	1.761824065
177	0.769875	1.75922532
178	0.77225	1.754952784
179	0.77525	1.751682486
180	0.77725	1.747893465
181	0.777125	1.743528407
182	0.779625	1.739655111
183	0.78225	1.734147706
184	0.786875	1.728068607
185	0.787	1.724839419
186	0.7895	1.721135825
187	0.791	1.71617352
188	0.790375	1.715129424
189	0.79175	1.712421947
190	0.796	1.707147091
191	0.800875	1.701816504
192	0.801	1.699064806
193	0.80475	1.69305896
194	0.8075	1.688099646
195	0.808875	1.683979733
196	0.813875	1.679714178
197	0.81525	1.67514791
198	0.81925	1.671633593
199	0.819375	1.668076592
200	0.82	1.663826919
201	0.826	1.658987887
202	0.82875	1.652894195
203	0.830625	1.649302735
204	0.837625	1.642660484
205	0.83875	1.638520013
206	0.84	1.633568368
207	0.842	1.628659799
208	0.842375	1.625552933
209	0.844875	1.621555849
210	0.845125	1.619184234
211	0.8465	1.615480914
212	0.85025	1.609573478
213	0.8525	1.602715434
214	0.856875	1.597609586
215	0.85875	1.59324013
216	0.858375	1.590194636
217	0.858875	1.586737214
218	0.861375	1.582807347
219	0.86425	1.578852829
220	0.86475	1.574561741
221	0.867125	1.569754288
222	0.86925	1.566390529
223	0.8725	1.560369582
224	0.874875	1.556270629
225	0.8765	1.554144312
226	0.87675	1.549503678
227	0.87775	1.545098717
228	0.877875	1.540402651
229	0.883375	1.535240366
230	0.8855	1.530084749
231	0.8875	1.523786087
232	0.890625	1.518603261
233	0.89325	1.512701478
234	0.8935	1.508951008
235	0.89725	1.503640366
236	0.8995	1.499203265
237	0.901125	1.494158807
238	0.900625	1.491607581
239	0.900625	1.489152315
240	0.902125	1.485965495
241	0.90275	1.482426413
242	0.905375	1.475637124
243	0.905375	1.47365647
244	0.909375	1.464914976
245	0.910625	1.460142357
246	0.91375	1.454055291
247	0.917375	1.448697516
248	0.9175	1.445432241
249	0.915625	1.443725239
250	0.9185	1.437538946
251	0.919875	1.43471803
252	0.920625	1.432191775
253	0.92125	1.429569299
254	0.92025	1.425903895
255	0.921625	1.423540199
256	0.922875	1.420715667
257	0.923625	1.417372271
258	0.92475	1.41299895
259	0.92475	1.409981078
260	0.927375	1.405145517
261	0.927375	1.401266514
262	0.929	1.397787097
263	0.929375	1.395210333
264	0.93075	1.389086584
265	0.932625	1.384197797
266	0.933875	1.378746026
267	0.933	1.375942141
268	0.936	1.370559593
269	0.936625	1.366810653
270	0.93925	1.359570982
271	0.940875	1.35443241
272	0.941375	1.352291709
273	0.94025	1.349746157
274	0.94225	1.343718189
275	0.94475	1.338070317
276	0.94375	1.333088848
277	0.943875	1.330557584
278	0.94575	1.327253997
279	0.945375	1.325792192
280	0.945375	1.322996696
281	0.94575	1.317525026
282	0.9455	1.315676084
283	0.9455	1.314280604
284	0.9485	1.307584304
285	0.95075	1.302576299
286	0.950375	1.298827912
287	0.9505	1.297738487
288	0.9515	1.293516168
289	0.952375	1.290448346
290	0.9525	1.287745984
291	0.953625	1.28381312
292	0.95475	1.279028579
293	0.955	1.274718375
294	0.956625	1.269427956
295	0.95825	1.265381457
296	0.958625	1.262705625
297	0.959125	1.259306612
298	0.95925	1.255290776
299	0.959375	1.252844139
300	0.960125	1.247235156
301	0.961375	1.243880742
302	0.961125	1.241593182
303	0.96	1.239221184
304	0.962125	1.236118353
305	0.963625	1.232046806
306	0.963875	1.229223737
307	0.964125	1.226658224
308	0.96425	1.222977619
309	0.965375	1.2192647
310	0.966125	1.214742954
311	0.966375	1.210309406
312	0.967	1.205958878
313	0.966875	1.202607278
314	0.967625	1.198525669
315	0.968625	1.196092088
316	0.968375	1.192807491
317	0.969375	1.187826715
318	0.9695	1.185528299
319	0.971625	1.181429778
320	0.972	1.176831164
321	0.9725	1.171985533
322	0.97275	1.169803769
323	0.9735	1.164732963
324	0.97325	1.162606777
325	0.973	1.158138984
326	0.974	1.154655895
327	0.974375	1.152579732
328	0.974125	1.149640565
329	0.974625	1.146330494
330	0.9755	1.141419851
331	0.97625	1.137856196
332	0.97725	1.13185003
333	0.978375	1.128311832
334	0.977625	1.124701132
335	0.9785	1.121834078
336	0.978875	1.117776284
337	0.978625	1.115611011
338	0.979625	1.112403274
339	0.98	1.108263701
340	0.979875	1.105458609
341	0.97975	1.101837406
342	0.98025	1.098841183
343	0.98	1.096617202
344	0.981375	1.091936821
345	0.980875	1.089531826
346	0.981	1.084987157
347	0.9815	1.082768273
348	0.981625	1.080164924
349	0.981875	1.078142889
350	0.98125	1.075237306
351	0.980625	1.070035234
352	0.981375	1.066602271
353	0.981875	1.064227164
354	0.982375	1.060253615
355	0.982875	1.058800188
356	0.98275	1.057240124
357	0.98275	1.055001457
358	0.982875	1.05350912
359	0.983	1.050175797
360	0.983125	1.047406651
361	0.98425	1.043185055
362	0.984125	1.040275875
363	0.984375	1.037005023
364	0.98475	1.034224105
365	0.984875	1.029992559
366	0.9855	1.026958587
367	0.985375	1.023569881
368	0.986625	1.019345069
369	0.986375	1.014542469
370	0.986125	1.012322831
371	0.98625	1.008502133
372	0.98675	1.006516174
373	0.987375	1.003204465
374	0.987625	0.998526578
375	0.98775	0.9951908006
376	0.988625	0.9916408045
377	0.9885	0.9885943521
378	0.98825	0.9868821689
379	0.988875	0.982773098
380	0.989375	0.9800168124
381	0.98975	0.9755763394
382	0.98975	0.9734693374
383	0.989875	0.9716147871
384	0.990375	0.9694562595
385	0.990875	0.9670862906
386	0.991	0.9638821855
387	0.991375	0.9604290689
388	0.9915	0.9586634483
389	0.99175	0.9547899129
390	0.992	0.9500115498
391	0.992125	0.9481440589
392	0.992	0.9454914031
393	0.99225	0.9439462808
394	0.9925	0.9405019132
395	0.992375	0.9375740569
396	0.9925	0.9349093563
397	0.993	0.9317842676
398	0.99275	0.9280088533
399	0.9925	0.9245057912
400	0.992625	0.9210898896
401	0.99275	0.9169601942
402	0.993	0.9137113556
403	0.993125	0.9113848029
404	0.993375	0.9082331039
405	0.993375	0.9057734431
406	0.993375	0.9024110057
407	0.993125	0.9002338601
408	0.993125	0.898460823
409	0.993	0.8950945391
410	0.993375	0.8916524327
411	0.9935	0.8894669791
412	0.993625	0.8866633891
413	0.99375	0.884083138
414	0.99375	0.8822703111
415	0.994125	0.8797347153
416	0.99425	0.876684913
417	0.994375	0.874204516
418	0.99475	0.8714716348
419	0.99475	0.869022945
420	0.994875	0.8681075354
421	0.99525	0.8658079067
422	0.995125	0.862283834
423	0.9955	0.8602724465
424	0.995125	0.8568705483
425	0.99525	0.8551867792
426	0.995375	0.8530844154
427	0.995625	0.8497799145
428	0.9955	0.8463725337
429	0.995875	0.8441865486
430	0.996	0.8394172404
431	0.996125	0.8379941822
432	0.996	0.8365820223
433	0.995875	0.8347099905
434	0.995625	0.8324425254
435	0.99625	0.8304068757
436	0.996	0.8279952066
437	0.996125	0.825993565
438	0.99625	0.8227176763
439	0.99625	0.8189492073
440	0.996	0.8171299398
441	0.9965	0.815150258
442	0.9965	0.8135006304
443	0.996375	0.8111753382
444	0.996375	0.8083257581
445	0.996375	0.8072481927
446	0.99625	0.8044015161
447	0.996125	0.8026867617
448	0.996	0.7999807079
449	0.996375	0.7971269529
450	0.9965	0.7946282691
451	0.996625	0.7934099468
452	0.996625	0.790472231
453	0.99675	0.7889524062
454	0.996625	0.785709024
455	0.99675	0.7843949565
456	0.99675	0.7821145732
457	0.996875	0.7802670508
458	0.996875	0.7777195337
459	0.996625	0.7758064465
460	0.99675	0.7741000724
461	0.996625	0.7714956122
462	0.997125	0.7696095921
463	0.997125	0.7679443462
464	0.997125	0.7652707427
465	0.99725	0.7628449418
466	0.997	0.7607045343
467	0.997125	0.7591013893
468	0.997375	0.7562868984
469	0.997375	0.754630036
470	0.99725	0.7530303532
471	0.997125	0.7504299827
472	0.997	0.7494419163
473	0.997125	0.7470916318
474	0.997125	0.7449970389
475	0.99725	0.742944731
476	0.997375	0.7416095855
477	0.997125	0.7386376264
478	0.99725	0.7366329979
479	0.997375	0.7338495422
480	0.99725	0.7311890278
481	0.99725	0.7298438473
482	0.9975	0.7269756293
483	0.997375	0.7251317679
484	0.9975	0.7226420226
485	0.99725	0.7198065622
486	0.997125	0.7175654643
487	0.997125	0.7166741346
488	0.997375	0.714641385
489	0.9975	0.7111226261
490	0.9975	0.707459748
491	0.9975	0.7044738212
492	0.99775	0.7024479077
493	0.997375	0.7007288306
494	0.99725	0.7002533334
495	0.99725	0.6973318721
496	0.997375	0.6957721674
497	0.997375	0.6942192866
498	0.99725	0.6930642449
499	0.997375	0.6902116522
